shop_name,address,district,lat,lng,rating,review_count,brand_type,dist_to_mrt,nearest_mrt,mrt_proximity
Want More,"111, Taiwan, Taipei City, Shilin District, 中山北路六段43-2號",士林區,25.103967500000003,121.5246855,4.7,1114,獨立,237,芝山站出口2,300m內
Chüan Chuan Coffee,"111, Taiwan, Taipei City, Shilin District, Fushou St, 45號1樓",士林區,25.09662,121.5253222,4.7,376,獨立,287,士林站出口1,300m內
榕 RON,"No. 21號, Lane 461, Section 5, Zhongshan N Rd, Shilin District, Taipei City, Taiwan 111",士林區,25.091456,121.52713299999998,4.3,1766,獨立,171,士林站出口2,300m內
Sukiya Shilin Restaurant,"No. 287號, Zhongzheng Rd, Shilin District, Taipei City, Taiwan 111",士林區,25.0947515,121.5240643,3.9,2524,獨立,205,士林站出口1,300m內
CAFE!N Shilin Shop,"No. 1號, Lane 16, Meide St, Shilin District, Taipei City, Taiwan 111011",士林區,25.0944249,121.5256676,4.0,646,獨立,46,士林站出口1,300m內
Coffee Alley,"111, Taiwan, Taipei City, Shilin District, Zhongzheng Rd, 253號2樓",士林區,25.0949519,121.5250049,3.7,1542,獨立,135,士林站出口1,300m內
Modism Café 摩德年代 士林店,"No. 29號, Lane 235, Zhongzheng Rd, Shilin District, Taipei City, Taiwan 111",士林區,25.0945299,121.5262273,4.6,485,獨立,54,士林站出口1,300m內
Caffé Ruelle 巷子咖啡 （天母雨聲YuSheng),"No. 31-1號, Section 2, Zhicheng Rd, Shilin District, Taipei City, Taiwan 111",士林區,25.1016634,121.52934919999998,4.4,763,獨立,677,芝山站出口1,500m以上
Kitten Coffee Garden,"111, Taiwan, Taipei City, Shilin District, Fuhua Rd, 129號1樓",士林區,25.102394,121.5222345,4.6,1217,獨立,56,芝山站出口1,300m內
Louisa Coffee 路易莎咖啡(士林捷運門市),"No. 224號, Zhongzheng Rd, Shilin District, Taipei City, Taiwan 111",士林區,25.095512,121.52598460000002,3.5,468,連鎖,156,士林站出口1,300m內
看電車咖啡 Orange Cafe,"No. 302號, Wenlin Rd, Shilin District, Taipei City, Taiwan 111",士林區,25.0919424,121.526365,4.2,951,獨立,102,士林站出口2,300m內
一杯咖啡士林店 A Cup Of Coffee,"111, Taiwan, Taipei City, Shilin District, Lane 157, Fuhua Rd, 18號1樓",士林區,25.103727,121.521504,4.5,382,獨立,85,芝山站出口2,300m內
STARBUCKS Beitou Daye Shop,"No. 302號, Daye Rd, Beitou District, Taipei City, Taiwan 112",北投區,25.1285516,121.4980515,4.3,1304,連鎖,298,北投站出口2,300m內
早安勇士(最後點餐16:00，假日無訂位服務),"No. 147號, Yuren Rd, Beitou District, Taipei City, Taiwan 112",北投區,25.1364284,121.500728,4.4,1330,獨立,180,新北投站出口2,300m內
牙口,"No. 45號, Lane 9, Daxing St, Beitou District, Taipei City, Taiwan 112",北投區,25.1309108,121.4971597,4.5,755,獨立,185,北投站出口1,300m內
拾米屋 SheMe house,"112, Taiwan, Taipei City, Beitou District, Datong St, 153號一號倉庫",北投區,25.1360236,121.4989492,4.2,1414,獨立,364,新北投站出口2,300-500m
LOUISA COFFEE Beitoushe Shop,"112, Taiwan, Taipei City, Beitou District, Guangming Rd, 65號1 樓",北投區,25.1330077,121.50013949999996,4.0,1115,連鎖,217,北投站出口1,300m內
山边咖啡 Brae Café(4/8-4/13休）,"No. 110-1號, Wenquan Rd, Beitou District, Taipei City, Taiwan 11241",北投區,25.1362794,121.511012,4.7,812,獨立,758,新北投站出口1,500m以上
Reeds Coffee & Bakery Beitou,"No. 6號, Huanggang Rd, Beitou District, Taipei City, Taiwan 112",北投區,25.133288,121.502039,4.3,572,獨立,381,北投站出口2,300-500m
STARBUCKS Guangming Shop,"No. 218之4號, Guangming Rd, Beitou District, Taipei City, Taiwan 112",北投區,25.1362584,121.5044235,4.1,826,連鎖,120,新北投站出口1,300m內
Rhyme Café 韻咖啡,"No. 52號, Daxing St, Beitou District, Taipei City, Taiwan 112",北投區,25.1303252,121.5002851,4.6,260,獨立,135,北投站出口2,300m內
皁咖啡（營業時間請看說明）,"112, Taiwan, Taipei City, Beitou District, Lane 8, Yuren Rd, 3號2 樓",北投區,25.1327138,121.4987251,4.9,208,獨立,75,北投站出口1,300m內
休息咖啡館chill cafe 週三公休,"112, Taiwan, Taipei City, Beitou District, 西安街二段259巷6號",北投區,25.119817,121.5071227,4.8,222,獨立,101,唭哩岸站出口1,300m內
Louisa Coffee 路易莎咖啡(新北投直營門市),"No. 22號, Zhonghe St, Beitou District, Taipei City, Taiwan 112",北投區,25.1378917,121.5030594,3.5,675,連鎖,113,新北投站出口1,300m內
1975 Antique’s Cafe Tea Room,"No. 719之1號, Daye Rd, Beitou District, Taipei City, Taiwan 112",北投區,25.1374885,121.50191499999998,4.5,700,獨立,91,新北投站出口2,300m內
MeJA Cafe（咖啡 甜點 早午餐）,"No. 21號, Lane 2, Guangming Rd, Beitou District, Taipei City, Taiwan 112",北投區,25.1310469,121.499878,4.6,316,獨立,69,北投站出口2,300m內
北投 千景咖啡 CJ COFFEE,"No. 200-9號, Guangming Rd, Beitou District, Taipei City, Taiwan 112",北投區,25.1359519,121.5037138,4.6,251,獨立,115,新北投站出口1,300m內
Dante Coffee,"No. 462-8號, Daye Rd, Beitou District, Taipei City, Taiwan 112",北投區,25.1319444,121.4969444,4.1,672,獨立,126,北投站出口1,300m內
黑鳥咖啡北投店 Blackbird Coffee,"No. 433號, Zhonghe St, Beitou District, Taipei City, Taiwan 11252",北投區,25.1439467,121.49778789999998,4.9,158,獨立,920,新北投站出口2,500m以上
85°C Bakery Cafe,"No. 98號, Section 1, Zhongyang N Rd, Beitou District, Taipei City, Taiwan 112",北投區,25.1348419,121.4997406,3.8,456,獨立,324,北投站出口1,300-500m
義法廚房,"No. 4號, Alley 6, Lane 24, Daxing St, Beitou District, Taipei City, Taiwan 112",北投區,25.1291439,121.4986122,4.4,408,獨立,217,北投站出口2,300m內
彼得好咖啡 北投店,"No. 530號, Daye Rd, Beitou District, Taipei City, Taiwan 112",北投區,25.134525,121.4968278,3.7,102,獨立,277,北投站出口1,300m內
The Antipodean Neihu,"No. 4號, Lane 26, Gangqian Rd, Neihu District, Taipei City, Taiwan 114",內湖區,25.0826766,121.5778639,4.3,2853,獨立,351,港墘站出口1,300-500m
Koshi Cafe,"No. 296號, Section 1, Kangning Rd, Neihu District, Taipei City, Taiwan 114",內湖區,25.0786393,121.5979749,4.5,361,獨立,651,內湖站出口2,500m以上
Le Mani 琢手咖啡 內湖店,"No. 48-1號, Section 2, Huanshan Rd, Neihu District, Taipei City, Taiwan 114",內湖區,25.0855464,121.5737236,4.4,1528,獨立,617,港墘站出口2,500m以上
Reeds Coffee & Bakery,"No. 146號, Section 3, Chenggong Rd, Neihu District, Taipei City, Taiwan 114",內湖區,25.0799349,121.5897048,4.3,1082,獨立,433,文德站出口1,300-500m
STARBUCKS Zhouzi Shop,"No. 48號, Zhouzi St, Neihu District, Taipei City, Taiwan 114",內湖區,25.0790278,121.5732998,4.2,841,連鎖,182,港墘站出口2,300m內
Starbucks,"No. 212號, Wende Rd, Neihu District, Taipei City, Taiwan 114",內湖區,25.0782943,121.5842074,4.2,736,連鎖,40,文德站出口2,300m內
河流咖啡 RIVER COFFEE,"No. 239號, Section 2, Neihu Rd, Neihu District, Taipei City, Taiwan 114",內湖區,25.081871900000003,121.5894136,4.8,346,獨立,521,文德站出口1,500m以上
STARBUCKS Gangqian Shop,"No. 216, Ruiguang Rd, Neihu District, Taipei City, Taiwan 114",內湖區,25.075345,121.5760838,4.0,710,連鎖,533,港墘站出口1,500m以上
AROS COFFEE 一縷光,"No. 332 號, Lishan St, Neihu District, Taipei City, Taiwan 114",內湖區,25.0829173,121.5731744,4.6,391,獨立,353,港墘站出口2,300-500m
85°C Bakery Cafe,"No. 2號, Wende Rd, Neihu District, Taipei City, Taiwan 114",內湖區,25.0784832,121.5788477,3.6,566,獨立,357,港墘站出口1,300-500m
心流映像 Stay flow coffee shot,"114, Taiwan, Taipei City, Neihu District, Lane 355, Section 2, Neihu Rd, 5號1樓",內湖區,25.083955,121.59221,4.9,253,獨立,208,內湖站出口1,300m內
Louisa Coffee 路易莎咖啡(內湖成功直營店),"No. 75號, Section 4, Chenggong Rd, Neihu District, Taipei City, Taiwan 114",內湖區,25.0823601,121.5928684,3.3,977,連鎖,209,內湖站出口1,300m內
暖窩咖啡內湖店,"No. 64號, Section 3, Neihu Rd, Neihu District, Taipei City, Taiwan 114",內湖區,25.0862989,121.5920081,4.6,297,獨立,364,內湖站出口1,300-500m
JokeR coffee,"114No. 275號, Yangguang St, Neihu District, Taipei City, Taiwan 114",內湖區,25.074088,121.580526,4.6,806,獨立,627,文德站出口2,500m以上
Timama kitchen,"No. 32號, Alley 16, Lane 71, Jiangnan St, Neihu District, Taipei City, Taiwan 114",內湖區,25.0755428,121.5774855,4.2,652,獨立,538,港墘站出口1,500m以上
Starbucks RuenHu,"2樓, No. 188號, Section 4, Chenggong Rd, Neihu District, Taipei City, Taiwan 114",內湖區,25.0839162,121.5943353,3.7,269,連鎖,20,內湖站出口1,300m內
布夏拉提咖啡,"No. 76號, Section 1, Kangning Rd, Neihu District, Taipei City, Taiwan 11459",內湖區,25.0798622,121.5925028,4.8,416,獨立,467,內湖站出口1,300-500m
cama café,"114, Taiwan, Taipei City, Neihu District, Lane 174, Section 3, Chenggong Rd, 46號1樓",內湖區,25.0819012,121.5902501,4.0,336,連鎖,453,內湖站出口1,300-500m
Forty4Cafe 內湖店,"No. 181巷1號, Section 1, Kangning Rd, Neihu District, Taipei City, Taiwan 114",內湖區,25.0784739,121.59580319999998,4.8,262,獨立,586,內湖站出口2,500m以上
Peter Better Cafe,"No. 50號, Zhouzi St, Neihu District, Taipei City, Taiwan 114",內湖區,25.0790063,121.5731829,3.7,197,獨立,193,港墘站出口2,300m內
Coppii Lumii living coffee 冉冉生活(經貿),"No. 196-1號, Jingmao 2nd Rd, Nangang District, Taipei City, Taiwan 115",南港區,25.0598291,121.6147732,4.3,3156,獨立,126,南港軟體園區站出口1,300m內
陋巷咖啡廳,"No. 5號, Lane 487, Section 7, Zhongxiao E Rd, Nangang District, Taipei City, Taiwan 115",南港區,25.0531511,121.61153139999998,4.6,339,獨立,432,南港站出口2,300-500m
STARBUCKS RESERVE™ Nangang CTBC Shop,"No. 186號, Jingmao 2nd Rd, Nangang District, Taipei City, Taiwan 115",南港區,25.0591419,121.6153499,4.2,981,連鎖,147,南港軟體園區站出口2,300m內
田野咖啡 TIAN YE COFFEE,"115, Taiwan, Taipei City, Nangang District, Lane 178, Section 2, Nangang Rd, 26號1樓",南港區,25.0544921,121.600286,4.8,276,獨立,676,南港站出口1,500m以上
Greenriver Roastery．Archive,"No. 121號, Zhongnan St, Nangang District, Taipei City, Taiwan 115",南港區,25.0521359,121.615332,4.2,165,獨立,345,南港展覽館站出口5,300-500m
STARBUCKS Nangang Chongyang Shop,"115, Taiwan, Taipei City, Nangang District, Chongyang Rd, 269號1 樓",南港區,25.0578976,121.6038176,4.3,231,連鎖,713,南港站出口1,500m以上
STARBUCKS Nangang Station Shop,"No. 359號, Section 7, Zhongxiao E Rd, Nangang District, Taipei City, Taiwan 115",南港區,25.0524855,121.6065925,4.0,791,連鎖,68,南港站出口1,300m內
SCOOP LAB. | Coffee & Desserts 早午餐/下午茶/不限時咖啡廳/蛋糕,"No. 55號, Section 1, Nangang Rd, Nangang District, Taipei City, Taiwan 115",南港區,25.055014,121.6160602,4.0,170,獨立,81,南港展覽館站出口5,300m內
GMS coffee,"No. 2號, Alley 18, Lane 16, Section 3, Nangang Rd, Nangang District, Taipei City, Taiwan 115",南港區,25.0551543,121.5924828,4.4,131,獨立,520,昆陽站出口3,500m以上
Ran Ran Café,"No. 5號, Lane 28, Xingzhong Rd, Nangang District, Taipei City, Taiwan 11579",南港區,25.0555935,121.6070067,4.6,543,獨立,399,南港站出口2,300-500m
STARBUCKS Nangang Shop,"No. 19-10號, Sanchong Rd, Nangang District, Taipei City, Taiwan 115",南港區,25.0580859,121.6131267,4.1,497,連鎖,376,南港軟體園區站出口1,300-500m
TUMAZ 黑熊咖啡『藝伎專家』,"561號, No. 561, Chongyang Rd, Nangang District, Taipei City, Taiwan 115",南港區,25.0632184,121.6144178,4.7,417,獨立,347,南港軟體園區站出口1,300-500m
PAUSE Coffee Roaster,"115, Taiwan, Taipei City, Nangang District, Section 1, Nangang Rd, 73號1樓",南港區,25.0550265,121.615641,4.6,99,獨立,123,南港展覽館站出口5,300m內
Logos Coffee手沖咖啡專門店-無訂位,"115, Taiwan, Taipei City, Nangang District, Section 1, Yanjiuyuan Rd, 2號1F",南港區,25.0548179,121.616408,4.6,491,獨立,47,南港展覽館站出口5,300m內
LOUISA COFFEE,"No. 620號, Section 7, Zhongxiao E Rd, Nangang District, Taipei City, Taiwan 115",南港區,25.0529758,121.6159073,2.7,539,連鎖,236,南港展覽館站出口5,300m內
嘖咖啡（休假日請看公告！）（禁止寵物入內！）,"No. 135號, Section 2, Nangang Rd, Nangang District, Taipei City, Taiwan 115",南港區,25.0541632,121.5962614,4.6,342,獨立,470,昆陽站出口4,300-500m
SIMPLE KAFFA 興波咖啡超級棧・南港展覽館,"115, Taiwan, Taipei City, Nangang District, Jingmao 2nd Rd, 1號1樓",南港區,25.0568352,121.6172791,3.9,146,獨立,119,南港展覽館站出口1,300m內
宇啡商行Real cafė（準確營業時間請關注ig及臉書唷～感謝各位）,"No. 43號, Section 1, Nangang Rd, Nangang District, Taipei City, Taiwan 115",南港區,25.055062,121.61638419999998,4.5,371,獨立,51,南港展覽館站出口5,300m內
Starbucks,"115, Taiwan, Taipei City, Nangang District, Section 7, Zhongxiao E Rd, 371號B2",南港區,25.0528955,121.6072597,4.0,385,連鎖,98,南港站出口2,300m內
武蔵野森珈琲Diner LaLaport南港店,"115, Taiwan, Taipei City, Nangang District, Jingmao 2nd Rd, 131號4 樓",南港區,25.0593449,121.61758249999998,3.9,583,獨立,152,南港軟體園區站出口2,300m內
Ruins Coffee Roasters,"No. 242, Section 3, Muzha Rd, Wenshan District, Taipei City, Taiwan 116",文山區,24.9907454,121.5710489,4.5,1337,獨立,860,木柵站出口,500m以上
自由·之丘,"116, Taiwan, Taipei City, Wenshan District, Lane 69, Section 2, Muxin Rd, 1號1樓",文山區,24.9858893,121.5709036,4.7,482,獨立,1389,木柵站出口,500m以上
Ruins Coffee Roasters Hucun Shop,"No. 36號 萬壽路政大里, 文山區臺北市 Taiwan 116",文山區,24.9882482,121.5789989,4.3,230,獨立,1082,動物園站出口2,500m以上
STARBUCKS Muzha Shop,"No. 75, Section 3, Muzha Rd, Wenshan District, Taipei City, Taiwan 116",文山區,24.9887216,121.566914,4.1,728,連鎖,1107,萬芳社區站出口,500m以上
Louisa Coffee 路易莎咖啡(木柵直營店),"No. 63號, Section 3, Muzha Rd, Wenshan District, Taipei City, Taiwan 116",文山區,24.9886989,121.5666199,3.7,836,連鎖,1114,萬芳社區站出口,500m以上
Starbucks,"No. 105, Section 2, Zhinan Rd, Wenshan District, Taipei City, Taiwan 116",文山區,24.987835600000004,121.5757049,4.0,520,連鎖,1172,木柵站出口,500m以上
STARBUCKS Wanfang Shop,"No. 111號, Section 3, Xinglong Rd, Wenshan District, Taipei City, Taiwan 116",文山區,24.9998323,121.5574809,3.9,674,連鎖,56,萬芳醫院站出口,300m內
𝗦𝗵𝗼𝘂 𝗦𝗵𝗼𝘂 𝗖𝗼𝗳𝗳𝗲𝗲 惜惜咖啡,"No. 19號, Lane 112, Section 2, Xiuming Rd, Wenshan District, Taipei City, Taiwan 116",文山區,24.9901566,121.5751778,4.5,299,獨立,909,木柵站出口,500m以上
"Serene Day Cafe (無訂位、不限時咖啡廳、一人作業如不耐久候請勿嘗試、不定期店休請查看IG, FB))","No. 2號, Alley 2, Lane 192, Section 3, Xinglong Rd, Wenshan District, Taipei City, Taiwan 116",文山區,24.9979863,121.5586584,4.6,254,獨立,181,萬芳醫院站出口,300m內
Louisa Coffee Wanfang Hospital,"No. 119號, Section 3, Xinglong Rd, Wenshan District, Taipei City, Taiwan 116",文山區,24.9989956,121.5581797,3.5,742,連鎖,62,萬芳醫院站出口,300m內
DoDo Cafe 豆荳先生,"116, Taiwan, Taipei City, Wenshan District, Alley 1, Lane 48, Section 3, Muzha Rd, 2號1樓",文山區,24.9879696,121.56535900000002,4.8,139,獨立,1219,萬芳社區站出口,500m以上
Louisa Coffee 路易莎咖啡(政大萬壽門市),"No. 27號, Wanshou Rd, Wenshan District, Taipei City, Taiwan 116",文山區,24.9887161,121.5765676,2.1,128,連鎖,1066,動物園站出口2,500m以上
海熊咖啡 Polar Bear_Cafe_Tea (咖啡/茶),"No. 1號, Section 1, Xinguang Rd, Wenshan District, Taipei City, Taiwan 116",文山區,24.9883752,121.5737733,4.8,251,獨立,1090,木柵站出口,500m以上
得正#台北萬芳計劃,"116, Taiwan, Taipei City, Wenshan District, Section 3, Xinglong Rd, 132號1樓",文山區,24.9988306,121.5579149,3.8,138,獨立,64,萬芳醫院站出口,300m內
Apt. Café,"2樓, No. 56號, Section 2, Zhinan Rd, Wenshan District, Taipei City, Taiwan 116",文山區,24.9876541,121.5754547,4.3,667,獨立,1188,木柵站出口,500m以上
Portafiltro Coffee。撥啡,"No. 290號, Section 3, Xinglong Rd, Wenshan District, Taipei City, Taiwan 116",文山區,24.9956412,121.5596705,4.8,234,獨立,459,萬芳醫院站出口,300-500m
狸奴,"No. 231號, Section 3, Xinglong Rd, Wenshan District, Taipei City, Taiwan 116",文山區,24.9933585,121.5592942,5.0,21,獨立,688,萬芳醫院站出口,500m以上
蛋蛋的幸福 蔬食料理,"No. 25號, Section 2, Zhinan Rd, Wenshan District, Taipei City, Taiwan 116",文山區,24.988208,121.5737499,4.6,296,獨立,1109,木柵站出口,500m以上
昇咖啡｜會議包廂・空間租借（包廂預約制）,"No. 14號, Lane 102, Section 3, Muzha Rd, Wenshan District, Taipei City, Taiwan 116",文山區,24.98665,121.5677961,4.2,125,獨立,1328,萬芳社區站出口,500m以上
Tuckaway 啡藏咖啡,"116, Taiwan, Taipei City, Wenshan District, Alley 1, Lane 48, Section 3, Muzha Rd, 6號1樓",文山區,24.9879781,121.5652507,4.7,226,獨立,1221,萬芳社區站出口,500m以上
